premise,hypothesis,label
Seorang pria berbaju hitam dan bertopi hitam sedang memainkan terompet.,Seorang pria menembak merpati di hutan.,2
Tiga orang berjalan melintasi jembatan batu di danau sementara seekor anjing berenang.,Sebuah keluarga melintasi danau.,1
Seorang wanita mengenakan pakaian berwarna cerah berjalan melewati jip cherokee yang berada di balik pagar.,Seorang wanita sedang berjalan di luar.,0
Pemain bisbol melihat keluar ke kerumunan stadion,Seorang pemain bisbol sedang melihat kerumunan penggemar.,1
Pria berbaju kuning itu sedang bernyanyi dan bermain gitar.,Pria itu sedang memainkan musik.,0
Seorang pengendara sepeda akrobat meluncurkan dirinya ke udara di atas tanjakan sementara pengendara sepeda lainnya menonton.,Seorang atlet di X-Games bertanding sementara yang lain menonton.,1
"Dalam sebuah pawai, tiga gadis berseragam hijau dan bulu hijau dan kuning menari di tengah jalan.",Tiga gadis ada di luar.,0
Seseorang memanjat pohon.,Ada seorang pria menanam pohon.,2
Pria berkaos putih itu sedang duduk di sungai sambil memandangi batu.,Pria ini menikmati waktunya di alam.,1
Tiga orang berfoto di meja yang berantakan dengan gadis di tengah mengenakan kemeja kuning dengan gambar wanita di atasnya.,Tiga orang berpose untuk foto di kamar mandi.,2
Empat orang dengan kostum periode duduk di luar ruangan di meja dan penonton yang penasaran berhenti untuk menatap.,sekelompok orang berpakaian halloween duduk di luar,1
Seorang gadis dan dua anak laki-laki mengenakan pakaian etnik yang cerah sedang berjalan bersama.,Anak-anak dengan pakaian cerah sedang berjalan.,0
Orang-orang berkerumun untuk menonton perahu di lautan.,monyet makan kentang,2
Pria berpakaian drag menunjuk ke mulutnya yang terbuka.,Pria itu mengatupkan rahangnya rapat-rapat.,2
Dua pemain sepak bola profesional sedang bermain dengan bola di lapangan.,Seorang bek melangkah di depan seorang striker selama pertandingan sepak bola.,1
Tiga gadis mengenakan jaket berlari keluar.,Tiga anak laki-laki memakai jaket berlari keluar.,2
Seseorang yang memakai helm dan bantalan sedang mengendarai sepeda motor trail dan melompati batang kayu.,ada seseorang yang keluar untuk bersepeda di jalan tanah,0
Seorang pria bertopi biru sedang memainkan gitar sementara seorang gadis muda duduk di bangku di seberangnya dan mendengarkan.,Seorang pria memainkan gitar untuk seorang gadis.,0
Jalan raya yang sepi dengan seorang pria berbaju merah sedang jogging di kejauhan.,Laki-laki yang sedang jogging itu memakai baju hijau.,2
Seorang pengendara motor melintas dan sekelompok orang duduk di sebuah bangku.,Sebuah mobil melewati orang-orang di bangku.,1
Seorang pria dengan topi oriental sedang membajak ladang dengan kemeja biru.,Seorang pria dengan topi oriental sedang membajak ladang dengan kemeja biru,0
Sekelompok besar orang yang memakai topi konstruksi merah sedang mengamati sumur minyak berwarna biru dan merah.,Pekerja sedang memastikan sumur minyak dalam kondisi baik.,1
"Pria berpakaian Skotlandia berjalan menyusuri jalan, tiga orang bermain drum dan satu lagi memainkan bagpipe.",Lima pria sedang menikmati drum.,0
Seorang wanita berjaket biru dan berkacamata sedang membaca koran di kereta api.,Surat kabar dapat dibaca.,0
Seseorang berbaju biru sedang mengayuh kayak melewati jeram.,Seorang pria sedang tidur.,2
"Seorang wanita dan seorang anak sedang berjalan di trotoar yang ditumbuhi dedaunan, menuju ke arah dua orang yang sedang menunggang kuda.",Orang-orang senang melihat satu sama lain.,1
Atlet wanita muda saling berpelukan sementara penonton duduk di latar belakang.,Para wanita saling mendorong.,2
Seorang pemuda dengan kemeja merah dan abu-abu dan celana jeans biru berjalan keluar dengan ponsel di tangannya.,Seseorang sedang berbicara dengan ibunya di ponselnya.,1
Seorang wanita berbaju merah marun menarik lengan seorang pria berbaju merah marun yang tergeletak di tanah.,Seorang pria terbang.,2
"Ada tiga pria di set Sports Center, Satu pria berjas dengan atasan jaket hitam, satu berbaju putih dengan celana panjang, dan satu berjas cokelat.",Beberapa pria berpakaian bagus ada di Sports Center.,0
Seorang gadis muda menunggang kuda di bawah langit biru.,Seorang gadis menunggang kuda.,0
Skateboarder di taman menikmati hari.,Seorang pemain skateboard ada di taman.,0
Sekelompok orang duduk melingkar di kursi.,sekelompok orang dalam lingkaran untuk pesta,1
Sekelompok pria melihat ke bawah sementara satu melihat ke atas.,Orang-orang di luar melihat ke utara pada awan hujan yang masuk.,2
"rombongan peserta balap, perempuan berbaju hijau putih dengan jam tangan, laki-laki di sebelah kanannya berbaju merah",Wanita itu sedang melakukan gerakan meroda.,2
Seorang anak dengan pakaian renang putih berenang di bawah air.,Anak itu sedang bersantai di atas pelampung.,2
Seorang pria berbaju kuning tergeletak di tanah.,Seorang wanita santai.,2
seekor anjing berlari di lorong yang dingin.,Anjing itu sedang bermain tangkap.,1
Seorang wanita tua Asia mengenakan kemeja lengan panjang merah dan membawa dompet anyaman menunjuk ke seorang pria yang dia ajak bicara yang mengenakan jaket merah dan membawa tas.,Seorang wanita tua Asia mengenakan kemeja putih lengan panjang,2
Seorang pria berjaket kamuflase sedang mengendarai kendaraan roda empat sambil menarik seorang gadis kecil berjubah ungu dan bertopi merah muda di atas kereta luncur.,Seorang pria berjaket sedang mengendarai kendaraan sambil menarik seorang gadis di atas kereta luncur.,0
Seorang biker melihat kembali ke kamera untuk mengambil foto.,Sepeda akan terbakar.,1
seekor anjing mengejar Frisbee ke dalam air,Anjing itu berada di luar ruangan.,0
Tiga joki yang menunggang kuda berlomba.,Beberapa kuda berdiri di lapangan.,2
Seorang wanita Afrika berdiri di dekat sumur mengisi kendi di dekat gubuk beratap jerami.,Seorang wanita mengisi kendi air dari truk air.,2
Seorang gadis kecil sedang memanjat batu saat bayangan ibunya menutupi batu itu.,Seorang gadis menyelam ke dalam air dan berenang ke dasar.,2
Dua orang berdiri di dekat trotoar di luar toko.,Dua orang berdiri di luar.,0
"Seorang pemain sepak bola dengan warna biru tua, emas, dan putih mendorong pemain lain dengan warna putih dan biru keluar dari rekan satu timnya saat wasit melihat dari kejauhan.",sekelompok pemain berada di stadion sepak bola,2
Sebuah band jazz bermain live.,Band jazz sedang memainkan musik.,0
Dua pria di lautan berselancar di atas papan mencoba menangkap ombak.,Ada dua pria berselancar.,0
Seorang gadis yang sangat muda berdiri di luar gedung.,Seorang gadis yang sangat muda berdiri di trotoar.,0
Seorang anak laki-laki kecil membawa bola sepak.,Anak itu punya bola,1
Seorang wanita sedang mendayung perahu yang penuh dengan tanaman hijau.,Wanita itu menjual tanaman.,1
Seorang anak laki-laki dengan piyama cetak Natal berwarna hijau membuka kado sementara seorang pria dengan cincin kawin emas dan kaus hijau membantunya.,Seorang gadis muda sedang membuka hadiah.,2
seorang gadis muda dengan kemeja pick berayun di udara dengan ayunan,Gadis itu sedang memanjat jeruji monyet.,2
Sekelompok pria berdiri di sekitar berbicara di luar ruangan.,Seorang pria berdiri sendirian di luar.,2
Seorang wanita dan dua pria bertopi dan berkacamata berdiri di bawah tanda avrovulcan.com.,Beberapa orang duduk di tempat teduh.,2
Sekelompok pengunjuk rasa di jalan melambai-lambaikan tanda serta bendera merah dan balon putih.,Manusia jangkung memprotes,1
Cowgirl berpakaian minim memanjat pagar kawat berduri,Seorang cowgirl memanjat pagar saat pria mengawasinya.,1
Pelari berlari menyusuri jalan dengan pegunungan di latar belakang.,Pelari di jalan,0
grup berpose dengan SpongeBob untuk berfoto.,SpongeBob dan teman-temannya berfoto selama liburan.,1
Pertandingan sepak bola sedang berlangsung.,Ada pertandingan sepak bola.,2
2 gitaris bermain di atas panggung.,Band ini bermain di atas panggung.,1
Seorang pria dan seorang wanita melongo di dinding bangunan di lanskap perkotaan.,Orang-orang mengagumi bangunan.,0
Dua gadis melompat dalam karung goni melintasi lapangan di depan pagar di sekitar lapangan tenis.,Dua gadis bersaing.,1
Seorang pendeta sedang memegang Alkitab di sebuah Gereja dengan anak-anak dengan seorang gadis di sebelahnya dengan pakaian gadis paduan suara.,Seorang pendeta memegang salib di sebuah Gereja dengan anak-anak dengan seorang gadis di sebelahnya dengan pakaian seorang biarawati.,2
pemain bisbol bermain dengan anak-anak dan orang dewasa di lapangan.,Pemain bisbol mengajari orang cara bermain.,1
Seorang pria berpakaian hitam sedang melakukan balet di depan dermaga di mana Anda bisa melihat kapal pesiar.,Seorang pria sedang membeli tiket pesawat.,2
Seekor anjing hitam melompat dari tepi sungai dekat area hutan.,Seekor anjing melompat di dekat area hutan.,0
"Seseorang berada di kayak merah muda, mengayuh di perairan yang indah.",Seorang pria dengan perahu motor meluncur melintasi lautan berminyak.,2
Sekelompok besar orang menari di luar ruangan di lingkungan tropis.,sekelompok besar orang menari di luar di pantai di daerah tropis,1
Santa berada di barisan penari untuk pawai.,Santa sedang bersiap-siap untuk bekerja.,1
Seorang pria berkacamata dan berkemeja abu-abu berada di jalanan yang ramai.,Seorang pria di luar di jalan.,0
Seorang pria berbaju merah sedang melempar frisbee sementara seorang pria lain berkaos putih mencoba menghentikannya melakukan lemparan.,Ada orang yang bermain frisbee.,0
Lady mengambil air dari sumur untuk digunakan di rumah.,Ada seorang pria mengambil air.,2
Seorang pemain bola basket melakukan dunk.,pria pergi untuk bermain menang,1
Dua anak sedang melihat sesuatu yang menarik yang ditunjukkan oleh orang dewasa kepada mereka.,Anak-anak sedang bermain di luar.,2
Seorang wanita berbaju hitam berjongkok di depan dinding bata berbicara di ponsel.,Seorang wanita di luar klub malam berbicara dengan pacarnya di telepon,1
Seorang pria dan wanita duduk di bangku.,Dua orang duduk di bangku.,0
Seorang pria duduk di puncak gunung.,Seorang pria duduk di dalam ruangan menonton TV.,2
Ada pemain sepak bola dalam latihan lari merah di dekat zona akhir.,Ada pertandingan besar yang akan datang.,1
Seorang gadis berbaju merah sedang melihat biji kopi.,Seorang gadis ingin membeli kopi untuk ayahnya.,1
Utama di overall dan helm mengendarai mesin roda dua.,lumba-lumba merah muda menerbangkan kapal luar angkasa,2
Dua pria mengendarai sepeda motor dengan ember dan tabung.,Para pria berjalan kaki.,2
Seorang pria menjual mainan tiup di acara luar ruangan.,Seseorang ada di dalam.,2
Seorang penyanyi pria mengenakan kacamata hitam bernyanyi ke mikrofon,Seorang pria dengan kacamata hitam sedang membaca majalah.,2
Seorang pria tidur di taman dengan selimut merah muda.,Seorang pria sedang tidur di atas bebek.,2
Seorang balita sedang duduk di atas kuda kayu dan tersenyum.,Seorang balita duduk di samping mainan sambil menangis.,2
Sekelompok pria berdiri di luar gedung kaca dan baja.,Beberapa pria di luar.,0
Wanita dengan jins yang digulung melempar frisbee di pantai.,Wanita melempar frisbee.,0
Berbagai orang melakukan aktivitas yang berbeda.,Satu orang tidak melakukan apa-apa,2
Seorang gadis muda sedang meniup gelembung dengan tongkat gelembung oranye.,Seorang gadis muda bergaun sedang meniup gelembung.,1
Kamera menangkap beberapa gerakan saat seorang pria berjalan di depan gedung Alpha Dental Group.,Pria itu masuk ke dalam gedung.,1
Seorang anak laki-laki dan perempuan melihat video game Nintendo DS berwarna biru.,Anak-anak sedang melihat permainan.,0
Seorang wanita duduk di tepi kolam dengan seekor anjing sementara anjing lain ada di dekatnya.,Seorang manusia besar sedang duduk.,2
Seorang pria dengan kemeja merah dan hitam menjual ikan.,Seorang pria menjual ikan.,0
Sekelompok peserta sedang mengadakan pertemuan.,Sebuah kelompok mengadakan pertemuan bisnis yang penting.,1
Seorang wanita muda berambut pirang yang mengenakan kacamata hitam di atas kepalanya sedang tertawa.,Ada seorang wanita yang sedang tertawa.,0
"Dua pemuda di ruang tamu bergandengan tangan sambil saling berhadapan, melompat ke udara dan menendang kaki ke belakang.",Dua orang cukup bersemangat tentang sesuatu.,0
Seekor anjing hitam dan putih berlari di depan seekor anjing coklat di rerumputan.,Tiga anjing ada di luar.,0
Kendaraan dan pejalan kaki melewati gedung pencakar langit terdekat.,Tidak ada lalu lintas di luar.,2
"Dua orang membawa tas atau benda berwarna merah, diikuti oleh wanita berbaju merah.",Dua wanita membawa sekantong apel merah sementara wanita lain berbaju merah mengikuti mereka pulang.,1
Siswa tersebut tampak cemberut saat seorang pria membantunya memposisikan selempangnya.,seorang siswa sedang melihat anak anjing,2
"Seorang wanita dengan topi rajutan dan mantel hijau di atas balok batu, memandang keluar.",Seorang wanita dengan topi rajut dan topi hijau menatap langit.,0
Seorang wanita dan seorang pria berkacamata berdiri di sisi jalan yang sibuk.,Kacamata hitam melindungi mata mereka dari cahaya yang berlebihan.,0
Seorang pria yang mengenakan celana kamuflase dan kaos hijau berdiri dengan satu kaki di atas persegi sementara pria lain yang mengenakan jenis pakaian yang sama mengulurkan tangan dengan sarung tangan bisbol di tangan kirinya.,Pria pertama juga memakai sarung tangan baseball.,1
Seorang pria duduk di antara dua jalan di atas peti hitam.,pria itu ada di luar,0
Wanita membaca manual di meja berantakan.,Wanita berkacamata sedang membaca.,1
Seorang pengendara sepeda motor trail melompat di udara.,Pengendara ada di tanah,2
Seorang wanita dan anak berjalan dengan tas mereka.,Orang-orang berjalan.,0
Seorang pria bertopi hitam sedang berbicara dengan seorang wanita dengan kemeja bermotif binatang.,Seorang pria menampar seorang wanita.,2
Pria duduk dengan topi merah dan kemeja hijau sedang berbicara di telepon.,Pria itu sedang tidur.,2
Seekor anjing hitam akan menangkap cakram terbang.,Anjing itu adalah pudel.,1
Seorang wanita melompat tinggi di udara.,Seorang wanita sedang bermain trampolin,1
Sekelompok orang mengendarai kendaraan pawai.,Sekelompok orang ikut serta dalam Parade Hari Thanksgiving Macy,1
Enam pria naik di trotoar yang bergerak.,Lima wanita berjalan di jalan.,2
Seorang gadis muda berpose untuk foto sambil berdiri di atas pohon.,Dia diperintahkan untuk mempelajari berbagai pose sebagai model.,0
Seorang wanita tersenyum menggendong bayinya dengan gendongan.,Seorang wanita menggendong bayi perempuan.,1
Sekelompok orang mengacungkan tiga jari.,Orang-orang menghitung sampai tiga.,1
Seorang pria dengan mohawk sedang menghaluskan beton.,Dia memaku paku ke dalam proyek,2
Seorang wanita berambut pirang sedang bernyanyi di depan sebuah band.,Dia mendengar musiknya.,0
Seekor anjing coklat membawa tongkat yang terlalu besar untuknya di atas rumput.,Seekor anjing coklat sedang mengambil tongkat yang baru saja dilempar oleh pemiliknya.,1
Seekor anjing berbulu putih bersandar melalui jendela.,Seekor anjing sedang tidur di samping jendela.,2
Seorang gadis muda menuruni perosotan tabung.,Gadis itu sedang bermain.,0
Puluhan orang berpesta di atas kapal.,Kerumunan merayakan hari tahun baru di atas kapal.,1
Banyak orang berjas menghadiri konvensi,Sekelompok orang yang cocok menghadiri konvensi.,0
Sekelompok orang sedang berbelanja di sebuah toko Natal yang penuh dengan mainan warna-warni.,Sekelompok orang berbelanja di sebuah toko yang penuh dengan mainan yang berwarna-warni dan bertema Natal.,0
Seorang anak laki-laki dengan sepeda menuruni setengah pipa.,Anak laki-laki itu mengendarai setengah pipa.,0
Seorang pria muda mengenakan celana pendek dan tanpa baju sedang menendang tinggi saat air terbang dari pakaiannya.,Pria muda itu berenang hari ini.,1
Sekelompok rekan tim sepak bola memperebutkan bola sepak di stadion yang penuh dengan suporter.,para pemain marah,1
Seekor border collie berlari melewati jalur dengan bola di mulutnya.,Seekor anjing berlari dengan bola.,0
Tiga anak laki-laki berada di luar bermain dengan kendaraan mainan.,Anak laki-laki di luar berpura-pura menjadi pekerja konstruksi.,1
Tiga remaja duduk di luar di atas meja.,Tiga remaja sedang duduk di meja makan siang.,1
"Tiga orang, tersenyum sambil bermain kartu.",Sekelompok orang sedang bermain poker.,1
seorang pria berbaju ungu sedang berdiri di stadion dengan mata tertutup.,Seorang pria sedang menonton pertandingan olahraga.,1
Seorang pria duduk dan berbicara di ponselnya.,Seorang pria memanggil putranya.,1
Seorang pria yang memakai sepatu salju sedang berjalan ke atas bukit saat orang lain berjalan di dekatnya.,dua orang berjalan bersama.,0
Wanita muda itu berhenti dan berdiri di tengah jalan.,Wanita itu berhenti di tanjakan.,0
Tiga pengendara sepeda berpacu di jalan tanah menembus hutan.,Tiga pengendara sepeda berlomba di hutan.,0
Seorang peselancar berambut pirang panjang menggerakkan tangannya di air sambil mengejar ombak.,Seorang peselancar sedang berada di atas air.,0
Seorang anak laki-laki dikelilingi oleh merpati.,Anak laki-laki itu berada di bawah air.,2
Sekelompok orang menatap ke arah yang sama dan seorang wanita duduk di bahu wanita lain untuk mengambil gambar.,Orang-orang melihat ke arah yang berbeda.,2
Anjing putih memiliki Frisbee abu-abu di mulutnya.,Anjing biru memiliki frisbee hijau di mulutnya.,2
Dua pria bertopi duduk di atas rakit tertutup dan memegang dayung mereka.,Dua pria berada di atas air,0
Berbagai buah tersedia di pasar luar ruangan di tempat yang tampaknya adalah India.,Pasarnya ada di India.,1
Dua pria bekerja di atas gedung tinggi pada hari berawan.,Dua pria sedang bekerja di trotoar,2
Seseorang yang mengenakan kostum prajurit dan pelat muka logam bersiap untuk pertarungan seni bela diri.,Orang tersebut adalah sabuk hitam di judo.,1
Pria berpakaian ungu dan berdandan duduk di sebelah pria berpakaian normal.,Kedua pria itu mengenakan jas,2
penari akrobat sedang melakukan aksinya.,Tindakan yang dilakukan adalah menjadi penari akrobat.,0
Seorang pria tua berkacamata memeluk seorang wanita muda di pertemuan yang cukup banyak orang.,Orang-orang berpelukan.,0
Seorang wanita berambut pirang pendek bernyanyi bersama band di bar.,Wanita tampil dalam pertempuran kompetisi band.,1
Kucing itu menyipitkan mata.,Ada kucing yang bermain dengan benang.,2
Seorang wanita yang lebih tua bekerja dengan master campuran sementara dua anak laki-laki berdiri di sampingnya dengan celemek untuk membantunya.,Seorang wanita dan dua anak laki-laki makan wafel di meja dapur mereka.,2
Gadis pirang tersenyum sambil duduk di pinggir jalan.,Gadis itu duduk di pinggir jalan.,0
Seorang badut mengangkat tangan kanannya sambil berbicara dengan seorang gadis kecil.,Badut itu melakukan trik sulap untuk gadis kecil itu.,1
Sebuah band sedang bersiap untuk naik ke atas panggung dengan pemanasan rutin mereka.,Orang-orang duduk di antara penonton.,2
Seekor anjing melompat di salju.,Seekor anjing ada di pantai.,2
Seorang pria berbaju biru sedang menyapu di dalam lokasi konstruksi.,Seseorang sedang minum air.,2
Anjing itu melakukan rintangan dengan pelatihnya.,Ada sepuluh anjing yang berlari secara bersamaan di bawah arahan pria ini.,2
Seorang maskot di acara olahraga melambaikan tangan ke penonton.,Seorang manusia ada di dalam setelan maskot.,0
Orang Eropa menikmati wine langsung dari botolnya.,Orang-orang menikmati anggur langsung dari botolnya.,0
Balita Asia tertidur di bahu ibunya.,Balita itu baru saja selesai makan.,1
Seorang pria dan wanita tersenyum dan berpose dengan piyama sambil memegang pengontrol video game di depan televisi.,Ada orang yang sedang jogging di luar,2
Seorang pria paruh baya dengan kemeja Superman dan kaus kaki selutut berjalan di trotoar melewati sebuah bangunan bata.,Pria itu mengenakan jubah dan berpura-pura menjadi manusia super.,1
Seorang bayi yang mengenakan stereoskop merah muda sedang bermain dengan sarung tangan karet.,Bayi itu memainkan permainan mendandani.,1
Empat orang berjalan melintasi pegunungan cokelat.,Empat teman sedang mendaki.,1
Cowgirl pemberani mengendarai mustang di rodeo.,Cowgirl sedang menunggang banteng.,2
Seorang pria duduk dekat lantai menyemir sepatu pria lain.,Seorang manusia duduk,0
Sekelompok delapan orang berkumpul di sekitar meja di malam hari.,Beberapa orang terlihat duduk bersama.,0
Seorang anak laki-laki memeriksa senjata dengan anak laki-laki lain dan seorang pria di latar belakang.,Seorang anak laki-laki sedang memeriksa pistol.,1
Pria itu sedang bermain di halaman dengan dua anjing.,Ada anjing di halaman.,0
Seorang pria dengan celana longgar berjalan di sepanjang jalan perkotaan.,Seorang pria sedang berjalan-jalan di jalan kota.,0
Seorang prajurit merunduk di belakang tank untuk berlindung.,Seorang prajurit sedang bermain petak umpet.,2
Remaja berpakaian seperti penduduk asli Amerika duduk di taman dengan tas sekolah mereka di tanah.,remaja berbicara,1
Dua pria berbaju biru sedang berdiri di atas permukaan konstruksi melakukan pekerjaan konstruksi.,Dua pria sedang bekerja di luar ruangan,0
Dua pria sedang mendorong gerobak penjual air kelapa di jalan pada hari yang cerah.,Dua pria pergi untuk menjual air kelapa dari gerobak penjual.,0
Tiga gadis sedang menunggang kuda dengan fokus pada gadis bungsu.,Fokusnya adalah pada gadis tertua.,2
Seorang wanita tua sedang membuat pancake.,Seorang wanita sedang membuat makanan sarapan.,0
dua pekerja konstruksi di lokasi pekerjaan.,dua cowok berada di lokasi kerja,0
gadis yang duduk di laut,Gadis itu ada di laut,0
Dua orang naik kereta.,Kereta tersebut membawa dua orang,0
Gadis berjaket merah merenung sambil duduk di museum seni dengan kubus di lantai.,Gadis itu mengenakan jaket kuning.,2
Beberapa orang sedang menonton kapal pesiar.,"Sekelompok orang menonton tayangan ulang sitkom TV lama ""The Love Boat"".",2
Seorang pria melompat dari batu besar ke laut,Seorang wanita masuk ke sebuah toko.,2
Dua pria berdiri di samping dua truk besar berwarna hijau di luar toko Family Dollar.,Dua pria sedang berbelanja persediaan untuk perusahaan di toko Family Dollar.,1
Tujuh pria beraksi bermain rugby.,Para pria sedang bermain tenis.,2
Seorang anak muda berambut pirang sedang bermain,Anak kecil itu menangis dan mengamuk.,2
"Dua tim sepak bola bersiap untuk adu penalti setelah bermain imbang tanpa gol dalam pertandingan di london, inggris.",Dua tim sepak bola memainkan pertandingan tanpa gol.,1
"Pria berbaju hitam ditahan oleh pria berbaju merah, putih dan biru.",Pendeta sedang mendengarkan pengakuan dosa dari seorang pria di sisi lain tembok pengakuan dosa.,2
"Dua pemain bisbol, satu mencoba menangkap bola dan satu lagi mencoba meluncur ke pangkalan.",Pemain berhidung keras itu meluncur ke base kedua dengan geriginya diarahkan tinggi saat pemain kedua mencoba menangkap lemparan dengan satu lompatan.,1
Anak laki-laki kecil itu duduk di pangkuan pria itu mengemudikan traktor biru di jalan berliku menuruni bukit.,Seorang anak duduk di pangkuan seseorang di atas peralatan di luar.,0
Seorang pria mengenakan kostum sebagai seorang prajurit bersiap untuk berperang.,Pria itu memakai pakaian.,0
Dua pria sedang mendiskusikan detail sebuah pohon kecil di dalam pot sementara pria lainnya bekerja di tanah.,Pria berbicara tentang pohon.,0
Seorang pria di depan sebuah toko Asia sedang mengerjakan sepeda.,Seorang pria membeli kue keberuntungan.,2
Seorang anak berlari melewati ladang bunga kuning.,seorang anak sedang menonton tv,2
Pemandangan dari atas seorang wanita muda duduk di belakang hijau baik di bawah tanda menawarkan program dan es krim.,Wanita itu melihat ke bawah untuk membaca tanda itu.,2
Sekelompok orang berkumpul di jalan untuk sebuah perayaan.,Orang-orang duduk di rumah menonton tv.,2
Seorang anak laki-laki mengenakan kemeja oranye dan celana pendek coklat sedang melompat.,Seorang anak laki-laki melompat-lompat.,0
Beberapa anak kecil duduk di luar sambil tertawa dan melihat-lihat benda.,Anak-anak kecil duduk di luar.,0
Beberapa orang berjalan menaiki tangga satu sama lain.,Orang-orang sedang berenang.,2
Dua pria di dapur memegang sebuah benda.,Ada pria yang bekerja di mobil.,2
Seorang pria tua dengan kaleng berdiri di samping konter.,Pria yang lebih tua dengan kaleng tidak tahan dengan kaleng di tangan dan celananya.,2
Seekor anjing hitam melompat ke kolam yang memiliki banyak bola kuning di dalamnya.,Sekelompok anjing mengelilingi kolam renang.,2
Dua orang berada di kolam dan satu jatuh dari ban dalamnya.,Dua pria berada di kolam dan satu jatuh dari ban dalamnya,0
Seorang anak laki-laki memeluk karakter lebah,Seorang anak laki-laki sedang memeluk mainan.,0
Seorang pria menarik tali merah berjalan melalui air.,Seorang pria menjatuhkan tali.,2
Seorang pria berbaju putih dan bertopi biru sedang berbicara.,Ada satu pria di foto itu.,0
Dua anjing coklat saling mengejar di salju.,Dua anjing coklat saling mengejar di salju sambil menggonggong.,1
Seorang pemuda berjanggut mengenakan t-shirt dan jeans sedang membaca buku di kafe luar ruangan,Seorang pemuda sedang membaca War and Peace di kafe luar ruangan.,1
"Seorang pria berdiri di atas bebatuan, yang bertuliskan kalimat, ""hidup ini singkat"" di sampingnya.",Seseorang berada di dekat pesan tertulis.,0
Furnitur di dalam dan di luar truk yang bergerak.,Truk pindahan kosong.,2
Seorang ibu dan anak perempuannya tersenyum ke arah kamera yang sedang memainkan Monopoli versi Simpsons di ruang tamu mereka.,Seorang ibu dan putrinya tersenyum saat mereka memainkan permainan Monopoli bertema Simpson dengan anggota keluarga lainnya.,1
Seorang pria berbaju abu-abu duduk di dekat seorang wanita.,Sepasang suami istri sedang berjalan menyusuri jalan kota.,2
Dua pria di ranjang bayi tergantung di tebing,Dua pria berlari di jalan.,2
"Seorang gelandang, dalam posisi patung kebebasan, dipegang oleh pemain lawan dari belakang.",Quarterback dalam posisi senapan bebas dari pemain mana pun,2
Seorang pria dengan kacamata berbingkai hitam sedang menatap mozaik yang terdiri dari cermin-cermin kecil,seorang pria dengan cermin kecil untuk mata melihat kacamata,2
"Seorang anak laki-laki berbaring di rerumputan, di samping bangku merah, membaca buku.",Anak laki-laki itu bisa membaca.,0
Seorang anak mengenakan mantel merah muda melompati mainan tiup plastik.,Ada mainan tiup.,0
Tiga gadis muda dengan mantel dan topi musim dingin memeriksa kamera.,gadis-gadis itu sedang tidur.,2
"Sebuah perahu dengan layar merah, putih dan biru berlabuh di sebuah dermaga.",Perahu ada di dalam air.,0
Penonton melihat drama yang sedang dimainkan.,Penonton menunggu pertunjukan dimulai.,2
"Seorang gadis berdiri membelakangi kami, dengan gadis lain duduk di sebelahnya, keduanya memandang ke arah air.",Gadis-gadis itu berlatih bola basket di arena lokal.,2
Seorang pria dan wanita berdiri di luar dengan pakaian pernikahan.,Sekelompok orang sedang menikmati pantai.,2
Seorang gadis melompat di udara di tengah taman kota.,Seorang gadis duduk di seluncuran.,2
Seorang pria masuk ke gedung merah marun saat seekor anjing melihatnya.,Seorang pria pergi ke gedung dengan seekor anjing di latar belakang.,0
Seorang pria berjanggut acak-acakan dan bertopi tampak sedang berpidato di depan kerumunan orang yang memegang mikrofon.,Ada beberapa orang di daerah itu.,0
Seorang pria membungkuk untuk melihat lebih dekat lukisan di museum.,Seorang pria duduk di depan lukisan di museum.,1
Dua pria melakukan tugas sehari-hari di pasar makanan.,Dua pria sedang bermain biliar di bar.,2
Seorang gadis berbaju koral berkacamata tersenyum sambil bersandar di pagar.,Gadis itu akan pergi ke pesta.,1
Seorang pria berbaju putih berdiri di jalan.,Pria itu saat ini berada di luar.,0
"Seorang balita muda berbaring di lantai luar berbatu abu-abu, ada daun-daun mati di tanah.",Ada mobil yang melaju di jalan.,2
Seorang anak laki-laki melakukan trik dengan skateboard di taman skate.,Seorang anak laki-laki sedang mendaki gunung.,2
Seorang pria sedang mengemudikan kapal dengan tiang panjang di sepanjang sungai yang dibatasi pepohonan.,Seorang rekan berlayar di danau kaca.,2
Sekelompok teman duduk untuk makan.,Teman siap untuk makan di restoran.,1
Sekelompok orang berlari melalui kota.,Sekelompok orang mengendarai sepeda motor melalui kota.,2
"Ketiga pria ini duduk berdekatan, dan semuanya mengenakan kemeja lengan pendek.",Para pria sedang duduk bersama.,0
Seorang wanita dengan kemeja polkadot dan sepatu bot hitam sedang berjalan di jalan dan didekati oleh seorang pria berjaket hitam dan celana jeans.,Sepasang suami istri bersatu kembali.,1
Seekor anjing pucat membawa tongkat di mulutnya di luar.,Anjing itu membawa tongkat itu kembali ke tuannya.,1
"Empat pria menunggu di suatu area, memegang tangga.",Empat pria tidak tahu apa-apa.,2
Dua orang duduk berdampingan di atas pohon.,Dua orang duduk di dalam ruangan.,2
Dua anak kecil berada di ban tersenyum.,Dua anak senang.,0
Seorang gadis sedang melompati rintangan dan akan menyentuh tanah.,Seorang gadis melompat dari jembatan.,2
"Seorang gadis muda berkacamata hitam, berpose di depan kamera.","Seorang gadis muda berkacamata, berpose di depan kamera.",0
Seorang pria dan seorang wanita tertawa saat pria lain menyiapkan makanan.,Dua wanita menertawakan pria itu.,2
